message_id,project,session_id,timestamp,session_date,code,cluster,code_order,order_in_session
3439,Project_7,0086cabebd15,1772710372.057,2026-03-05,Specify,Directive,1,1
3439,Project_7,0086cabebd15,1772710372.057,2026-03-05,Command,Directive,2,2
3439,Project_7,0086cabebd15,1772710372.057,2026-03-05,Specify,Directive,3,3
3440,Project_7,0086cabebd15,1772710372.068,2026-03-05,Interrupt,Metacognitive,1,4
3441,Project_7,0086cabebd15,1772710376.945,2026-03-05,Delegate,Action,1,5
3441,Project_7,0086cabebd15,1772710376.945,2026-03-05,Plan,Repair,2,6
3442,Project_7,0086cabebd15,1772710759.098,2026-03-05,Verify,Evaluative,1,7
3443,Project_7,0086cabebd15,1772710767.714,2026-03-05,Execute,Action,1,8
3443,Project_7,0086cabebd15,1772710767.714,2026-03-05,Plan,Repair,2,9
3444,Project_7,0086cabebd15,1772710915.5,2026-03-05,Specify,Directive,1,10
3444,Project_7,0086cabebd15,1772710915.5,2026-03-05,Verify,Evaluative,2,11
3445,Project_7,0086cabebd15,1772710939.133,2026-03-05,Execute,Action,1,12
3446,Project_7,0086cabebd15,1772711082.934,2026-03-05,Verify,Evaluative,1,13
3447,Project_7,0086cabebd15,1772711087.089,2026-03-05,Investigate,Action,1,14
3448,Project_7,0086cabebd15,1772711269.415,2026-03-05,Frustrate,Evaluative,1,15
3448,Project_7,0086cabebd15,1772711269.415,2026-03-05,Inquire,Metacognitive,2,16
3449,Project_7,0086cabebd15,1772711278.521,2026-03-05,Repair,Repair,1,17
3449,Project_7,0086cabebd15,1772711278.521,2026-03-05,Ask,Communication,2,18
3449,Project_7,0086cabebd15,1772711278.521,2026-03-05,Explain,Communication,3,19
3450,Project_7,0086cabebd15,1772712446.237,2026-03-05,Frustrate,Evaluative,1,20
3450,Project_7,0086cabebd15,1772712446.237,2026-03-05,Frustrate,Evaluative,2,21
3450,Project_7,0086cabebd15,1772712446.237,2026-03-05,Verify,Evaluative,3,22
3451,Project_7,0086cabebd15,1772712452.116,2026-03-05,Repair,Repair,1,23
3451,Project_7,0086cabebd15,1772712452.116,2026-03-05,Investigate,Action,2,24
9963,Project_24,00bd84ef1666,1771876562.138,2026-02-23,Command,Directive,1,1
9963,Project_24,00bd84ef1666,1771876562.138,2026-02-23,Specify,Directive,2,2
9964,Project_24,00bd84ef1666,1771876564.38,2026-02-23,Execute,Action,1,3
9964,Project_24,00bd84ef1666,1771876564.38,2026-02-23,Plan,Repair,2,4
9965,Project_24,00bd84ef1666,1771876589.302,2026-02-23,Interrupt,Metacognitive,1,5
9965,Project_24,00bd84ef1666,1771876589.302,2026-02-23,Command,Directive,2,6
9966,Project_24,00bd84ef1666,1771876591.89,2026-02-23,Execute,Action,1,7
9967,Project_24,00bd84ef1666,1771876635.415,2026-02-23,Interrupt,Metacognitive,1,8
9967,Project_24,00bd84ef1666,1771876635.415,2026-02-23,Command,Directive,2,9
9967,Project_24,00bd84ef1666,1771876635.415,2026-02-23,Specify,Directive,3,10
9968,Project_24,00bd84ef1666,1771876637.658,2026-02-23,Execute,Action,1,11
6670,Project_16,00da7e5a052d,1772969043.516,2026-03-08,Specify,Directive,1,1
6670,Project_16,00da7e5a052d,1772969043.516,2026-03-08,Command,Directive,2,2
6670,Project_16,00da7e5a052d,1772969043.516,2026-03-08,Specify,Directive,3,3
6671,Project_16,00da7e5a052d,1772969043.519,2026-03-08,Interrupt,Metacognitive,1,4
